time_stamp,time_stamp,sbert_jap_en__ai,sbert_jap_en__fansub,sbert_jap_en__official,sbert_jap_sp__ai,sbert_jap_sp__fansub,sbert_jap_sp__official,comet_jap_en__ai,comet_jap_en__fansub,comet_jap_en__official,comet_jap_sp__ai,comet_jap_sp__fansub,comet_jap_sp__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official,sub_jap__ai,sub_jap__fansub,sub_jap__official
28,01:46.5,0.9491439461708068,0.9134405255317688,0.925603210926056,0.9035634994506836,0.5792776942253113,0.7710858583450317,-0.0723216086626052,0.2201448678970337,0.101112812757492,-0.0510138384997844,-0.0048374198377132,-0.1461188793182373,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは,僕らのターゲットは
29,01:49.1,0.4106075167655945,0.4576826095581054,0.4576826095581054,0.5982636213302612,0.5073880553245544,0.6144220232963562,-0.4877897799015045,-0.5345638394355774,-0.5345638990402222,-0.3680944144725799,-0.2965958416461944,-0.2808130383491516,先生,先生,先生,先生,先生,先生,先生,先生,先生,先生,先生,先生
30,01:50.1,0.7093304991722107,0.7737926244735718,0.7737927436828613,0.8609867095947266,0.8849708437919617,0.7345952987670898,0.2417686879634857,0.1570854187011718,0.1570854187011718,0.3876436650753021,0.2641999125480652,0.1037454307079315,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ,残念ですねぇ
31,01:51.6,0.7162579298019409,0.5954907536506653,0.618073582649231,0.5884972214698792,0.6905241012573242,0.571176290512085,-0.1921371817588806,-0.1975117176771164,-0.3104436099529266,-0.3977610468864441,-0.3418667614459991,-0.2845042049884796,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです,今日も命中弾ゼロです
32,01:54.0,0.8545708656311035,0.7798707485198975,0.0232123918831348,0.7164431810379028,0.5353091359138489,0.5059880018234253,0.3505113422870636,0.4254085123538971,-0.8889937996864319,-0.0065440647304058,0.0371400378644466,-0.1577531695365905,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする,数に頼る戦術は　個々の思考を疎かにする
33,01:57.6,0.7618880271911621,0.7455331683158875,0.7833612561225891,0.8219775557518005,0.7949157953262329,0.800497829914093,-0.0742096900939941,0.0400366820394992,0.2265588939189911,0.3035363852977752,0.2187218219041824,-0.0612350292503833,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き,目線　銃口の向き　指の動き
34,02:01.4,0.8413947820663452,0.4754266440868377,0.7933824062347412,0.9382146596908568,0.9075534343719482,0.1331314593553543,0.0500076822936534,-0.5914986729621887,0.2367111444473266,0.2262701094150543,0.2148803174495697,-0.0140176676213741,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます,一人一人が単純過ぎます
35,02:04.0,0.6785619854927063,0.5846897959709167,0.6199494004249573,0.8150233626365662,0.445339173078537,0.7701066136360168,0.1396339833736419,0.4258663654327392,0.3030485808849334,0.3130472898483276,0.3720810115337372,0.4627704918384552,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう,もっと工夫しましょう
36,02:05.9,0.6137433648109436,0.670146644115448,0.681979775428772,0.7215356826782227,0.6375506520271301,0.292354941368103,-0.7010083794593811,-0.6682875752449036,-0.6727368235588074,-0.7639767527580261,-0.665942370891571,-0.7329540848731995,でないと,でないと,でないと,でないと,でないと,でないと,でないと,でないと,でないと,でないと,でないと,でないと
37,02:07.4,0.7871810793876648,0.5665512084960938,0.5734232664108276,0.8060582280158997,0.5264869928359985,0.5036572813987732,-0.3853635191917419,-0.3108455836772918,-0.2498743832111358,-0.5265273451805115,-0.186839297413826,-0.4487932324409485,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ,最高速度マッハ20の先生は　殺せませんよ
