time_stamp,time_stamp.1,sbert_jap_en__ai,sbert_jap_en__fansub,sbert_jap_en__official,sbert_jap_sp__ai,sbert_jap_sp__fansub,sbert_jap_sp__official,comet_jap_en__ai,comet_jap_en__fansub,comet_jap_en__official,comet_jap_sp__ai,comet_jap_sp__fansub,comet_jap_sp__official,comet_jap_en_norm__ai,comet_jap_en_norm__fansub,comet_jap_en_norm__official,sbert_jap_en_norm__ai,sbert_jap_en_norm__fansub,sbert_jap_en_norm__official,qe_mix_en__ai,qe_mix_en__fansub,qe_mix_en__official,comet_jap_sp_norm__ai,comet_jap_sp_norm__fansub,comet_jap_sp_norm__official,sbert_jap_sp_norm__ai,sbert_jap_sp_norm__fansub,sbert_jap_sp_norm__official,qe_mix_sp__ai,qe_mix_sp__fansub,qe_mix_sp__official
193,0:12:54.67,0.3238073587417602,0.4172884821891784,0.3466229438781738,0.4054470658302307,0.3566115200519562,0.2838453948497772,-0.282243400812149,-0.3452877998352051,-0.241428405046463,-0.4533344507217407,-0.2813778817653656,-0.7119649648666382,0.4780988042641708,0.449249356646299,0.550663509973543,0.1320100971986973,0.3531460761330635,0.3375490499582685,0.3396633214379814,0.4108080444410048,0.4654177259674332,0.3862906984022402,0.5615916788560422,0.2425083923775532,0.1414029080940456,0.2783439423833446,0.2347811594135854,0.2883355822789624,0.4482925842669631,0.2394174991919661
194,0:12:58.88,0.628147542476654,0.6955193877220154,0.6955193877220154,0.6192708015441895,0.7025865912437439,0.52924644947052,-0.3952301144599914,-0.1736662238836288,-0.1736667454242706,-0.3420923054218292,0.1215539276599884,-0.5911743640899658,0.4178954075025541,0.5489146545356947,0.5868856140877659,0.5337689356408036,0.6722286268166082,0.7016981175065183,0.4642448187578539,0.59824024344806,0.6328106154552668,0.4400251885078491,0.7435728637150287,0.3047478730244939,0.4588744506377166,0.6744568957835558,0.5006963920027823,0.4475648933597961,0.7159264765424396,0.3831272806158092
195,0:13:01.22,0.8324893712997437,0.7971506118774414,0.8297299742698669,0.7561310529708862,0.7484050393104553,0.7484050393104553,-0.2442993819713592,-0.0043571107089519,0.0879390686750412,-0.2624730765819549,0.2115428447723388,0.2115428447723388,0.4983167462438113,0.6472370426525867,0.7267274226860884,0.8035201554291602,0.7887819988099188,0.8417759566729678,0.6203981099179509,0.7038550251155196,0.7727468362808401,0.4784845210996292,0.7842156955223212,0.7183620273105807,0.6620756293481662,0.7269152440726393,0.7381754341416696,0.551920964399044,0.7612955149424485,0.7262873900430162
196,0:13:03.49,0.8909975290298462,0.6014862060546875,0.886642575263977,0.9518156051635742,0.4625732600688934,0.8708263039588928,0.5652042627334595,-0.01071223244071,0.5225611925125122,0.6567897200584412,-0.0563322119414806,0.0557793118059635,0.9296494890832576,0.6435464513210064,0.9590553778713776,0.8807566517753326,0.5643888906167812,0.901176592447366,0.9100923541600876,0.6118834270393163,0.9359038637017728,0.9225259185156408,0.6632318985754583,0.6381021285003738,0.9526152947840302,0.3996614050576052,0.870830442952301,0.9345616690229964,0.557803701168317,0.7311934542811447
197,0:13:04.41,0.7835433483123779,0.6007701754570007,0.7075836062431335,0.6064737439155579,0.152593195438385,0.858558714389801,-0.1400927156209945,0.0378089658915996,0.1780445128679275,0.1161348670721054,-0.4416588842868805,0.3111478984355926,0.5538418170857689,0.6717240254921267,0.7748934327721829,0.7389066131080643,0.563567727816625,0.7142897446287764,0.6278677354946871,0.628461506421926,0.7506519575148203,0.6613675889093634,0.4892019442484668,0.7696852823482263,0.4398742137752536,0.0447597687257977,0.8575373503915729,0.5727702388557195,0.3114250740393992,0.8048261095655649
198,0:13:15.85,0.7257144451141357,0.6995733976364136,0.6995733976364136,0.8632655143737793,0.7609232664108276,0.805924654006958,-0.2786560654640198,-0.2271668612957,-0.2271671444177627,0.249842494726181,0.3748206198215484,0.3165696561336517,0.4800102659423425,0.5178453852122903,0.5582868897752334,0.6625667992452162,0.6768778724548857,0.70592935561802,0.553032879263492,0.5814583801093285,0.6173438761123481,0.7259538226236828,0.8579589003761908,0.7724789383210503,0.821141893004982,0.7412475827899404,0.8005033721535898,0.7640290507762024,0.8112743733416907,0.7836887118540661
199,0:13:17.38,0.5219689607620239,0.6807346940040588,0.6807346940040588,0.7291157245635986,0.6128674745559692,0.7831947803497314,0.3498788177967071,0.1454931497573852,0.145492821931839,0.0061771050095558,0.0310898758471012,0.2834207415580749,0.8149163246617922,0.7342591479174572,0.7574928740380099,0.3936028125426491,0.6552731495896408,0.6862670848136485,0.646390919814135,0.7026647485863307,0.7290025583482653,0.6082535082553502,0.7027154408187513,0.7553983773011721,0.6219650309941148,0.5717358986746284,0.7758734061184985,0.613738117350856,0.6503236239611021,0.7635883888281026
200,0:13:20.14,0.9553724527359008,0.9524515867233276,0.9524515867233276,0.6696808338165283,0.683548092842102,0.6271911859512329,0.2289162576198578,0.2249640524387359,0.2249640822410583,-0.2036178410053253,0.580814003944397,-0.1420366913080215,0.7504631091596096,0.780410053742438,0.7999743640289411,0.9657378535855832,0.9668852583402232,0.9698625609690756,0.836573006929999,0.8550001355815521,0.867929642804995,0.5069139986616572,0.9509942955445464,0.5361739551300682,0.5337199800722251,0.6526593835980635,0.6068287695608486,0.5176363912258843,0.8316603307659534,0.5644358809023804
201,0:13:22.24,0.8680808544158936,0.8431150913238525,0.8431150913238525,0.8804737329483032,0.8205704689025879,0.3485122323036194,-0.1108005940914154,0.0630419552326202,0.0630422607064247,0.0566247887909412,0.2514070570468902,-0.1862495988607406,0.5694497160811426,0.6863775058914813,0.7134187939515039,0.850504397666564,0.8414952777841387,0.8557462277383118,0.6818715887153112,0.7484246146485443,0.770349767466227,0.6326217956314468,0.8022200734679075,0.5133924772147445,0.8466915340541451,0.8095387156154444,0.304853788681303,0.7182496910005262,0.8051475303269222,0.4299770018013678
202,0:13:23.44,0.8455408215522766,0.7991005182266235,0.872776448726654,0.8738967180252075,0.8939400911331177,0.7674562335014343,-0.039324976503849,-0.14756540954113,-0.0209438763558864,-0.1483248621225357,0.1132467091083526,-0.6355183720588684,0.6075345034466526,0.564072104420288,0.6685238693321237,0.8207493475427134,0.7910182029091707,0.8867042837203324,0.6928204410850769,0.6548505438158411,0.7557960350874072,0.5336227610527153,0.739820969623904,0.28189884331488,0.836926411085004,0.8935408885219495,0.758819203347248,0.6549442210656308,0.8013089371831221,0.4726669873278272
